ts,src_ip,dst_ip,pred,score,pkt_count,byte_count,duration,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,mean_iat,std_iat,tcp_flag_syn,tcp_flag_ack,tcp_flag_psh,tcp_flag_rst,tcp_flag_fin,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,dir_outbound
1755172191.6959236,10.7.72.134,172.64.155.209,1,0.5,20.0,24038.0,12.3619384765625,1201.9,474.88976615631555,55.0,1454.0,0.6506283408717105,2.6923847994758496,0.0,20.0,6.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172207.11371,10.7.72.134,172.64.155.209,1,0.5,80.0,76200.0,27.785197734832764,952.5,632.96544139471,54.0,1454.0,0.3517113637320603,1.477463345286722,0.0,80.0,17.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172207.430799,10.7.72.134,172.64.155.209,1,0.51,90.0,85646.0,28.10688090324402,951.6222222222223,632.3281598413873,54.0,1454.0,0.3158076505982474,1.3957277693500731,0.0,90.0,20.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172209.1822884,10.7.72.134,172.64.155.209,1,0.5,100.0,86186.0,29.85798931121826,861.86,657.5487209325254,54.0,1454.0,0.3015958516284673,1.324200146557741,0.0,100.0,20.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172211.2781587,10.7.72.134,172.64.155.209,1,0.52,110.0,86761.0,31.965368032455444,788.7363636363636,668.2399361861349,54.0,1454.0,0.2932602571784903,1.2622833941164269,0.0,110.0,21.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172213.4621258,10.7.72.134,172.64.155.209,1,0.52,120.0,87336.0,34.14909815788269,727.8,670.9600534557428,54.0,1454.0,0.2869672114107789,1.2083149632171903,0.0,120.0,22.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172215.6647384,10.7.72.134,172.64.155.209,1,0.52,130.0,87876.0,36.34025478363037,675.9692307692308,669.1746689129774,54.0,1454.0,0.28170740142349127,1.16073634712248,0.0,130.0,22.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172217.9506426,10.7.72.134,172.64.155.209,1,0.5,140.0,88486.0,38.613401889801025,632.0428571428571,664.0084645698488,54.0,1454.0,0.27779425820000736,1.1183287393159522,0.0,140.0,24.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172221.5465407,10.7.72.134,172.64.155.209,1,0.5,150.0,89061.0,42.21906566619873,593.74,657.3129384598075,54.0,1454.0,0.2833494340013338,1.0851895503162527,0.0,150.0,25.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172224.4748428,10.7.72.134,172.64.155.209,1,0.5,160.0,89636.0,45.15104103088379,560.225,649.5477267876472,54.0,1454.0,0.28396881151499237,1.0514526275536036,0.0,160.0,26.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172225.5753763,10.7.72.134,172.64.155.209,1,0.5,170.0,99366.0,46.251893281936646,584.5058823529412,654.3481017017564,54.0,1454.0,0.27367984190495054,1.021404641546668,0.0,170.0,28.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172225.6591582,10.7.72.134,172.64.155.209,1,0.5,180.0,112186.0,46.33680200576782,623.2555555555556,662.3930783506977,54.0,1454.0,0.25886481567468056,0.9943471296632252,0.0,180.0,30.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172226.1107059,10.7.72.134,172.64.155.209,1,0.5,190.0,121404.0,46.784228801727295,638.9684210526316,665.2869812523185,54.0,1454.0,0.24753560212554124,0.968980624249935,0.0,190.0,34.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
1755172226.2654834,10.7.72.134,172.64.155.209,1,0.51,200.0,129031.0,46.9390025138855,645.155,667.1796541974282,54.0,1454.0,0.2358743844918869,0.9457313349222496,0.0,200.0,35.0,0.0,0.0,51672.0,443.0,1.0,0.0,0.0,1.0
